iter	Passed	Remaining
0	0	95
1	1	87
2	2	84
3	3	82
4	4	80
5	5	80
6	5	79
7	6	78
8	7	77
9	8	76
10	9	75
11	10	75
12	11	74
13	11	73
14	12	72
15	13	71
16	14	71
17	15	69
18	16	68
19	17	68
20	17	67
21	18	66
22	19	65
23	20	64
24	21	63
25	22	62
26	22	62
27	23	61
28	24	60
29	25	59
30	26	59
31	27	58
32	28	57
33	29	56
34	29	55
35	30	54
36	31	53
37	32	52
38	33	51
39	33	50
40	34	49
41	35	48
42	36	48
43	36	47
44	37	45
45	38	45
46	39	44
47	40	43
48	40	42
49	41	41
50	42	40
51	43	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	35
57	47	34
58	47	33
59	48	32
60	49	31
61	50	30
62	50	29
63	51	28
64	52	28
65	53	27
66	54	26
67	54	25
68	55	25
69	56	24
70	56	23
71	57	22
72	58	21
73	59	20
74	59	19
75	60	19
76	61	18
77	62	17
78	62	16
79	63	15
80	64	15
81	65	14
82	66	13
83	67	12
84	68	12
85	69	11
86	69	10
87	70	9
88	71	8
89	72	8
90	73	7
91	74	6
92	74	5
93	75	4
94	77	4
95	78	3
96	79	2
97	80	1
98	80	0
99	81	0
